,translation_G1_1,translation_G1_2,translation_G1_3,translation_G2M_1,translation_G2M_2,translation_G2M_3,translation_MG1_1,translation_MG1_2,translation_MG1_3,translation_S_1,translation_S_2,translation_S_3
115,22.83982,23.59787,23.35474,23.37411,22.837670000000003,23.64845,23.85529,23.70081,23.21805,23.6502,23.88185,23.51256
116,21.028979999999997,21.402910000000002,20.4707,,20.03872,21.1646,20.71448,20.672539999999998,20.62132,20.64165,20.4959,20.74435
117,21.22588,20.63085,21.49945,20.8723,21.0486,,20.88822,20.98364,21.576810000000002,21.18071,21.162760000000002,20.92383
118,24.714660000000002,24.27583,24.68896,25.465410000000002,24.95691,25.41819,25.046310000000002,24.81333,24.36713,25.08513,24.79049,25.19088
119,,22.30421,22.55119,,,20.982110000000002,,,,,,
120,22.342670000000002,21.91167,23.07173,20.510170000000002,19.93186,22.454079999999998,20.487479999999998,21.55997,,21.65036,21.674139999999998,21.95748
121,21.5715,22.084139999999998,21.703789999999998,21.14855,20.38469,21.83098,,21.11972,21.465329999999998,20.82695,20.96056,
122,25.76243,25.93315,26.105629999999998,26.690859999999997,25.797639999999998,26.68298,26.183970000000002,26.10238,25.76812,25.62067,25.72416,25.81015
123,27.2606,26.66031,26.53691,27.552740000000004,28.37115,27.82347,26.538970000000003,26.333920000000003,26.158520000000003,25.873170000000002,25.826729999999998,26.30058
124,26.389429999999997,26.27008,26.415879999999998,26.753529999999998,26.41167,27.09325,26.676,26.61905,26.22301,26.38893,26.63076,26.64265
125,28.00147,27.337390000000003,27.98875,28.10993,28.01052,28.33799,28.169729999999998,27.31328,27.74516,27.18092,27.74195,27.26042
126,23.9872,23.21321,24.59776,23.86401,23.08785,23.12514,24.25796,23.82551,22.46176,22.67416,23.242639999999998,23.27327
127,28.03402,28.17845,28.23507,27.15509,27.2129,28.009190000000004,28.77706,28.49975,28.23736,26.62045,26.59249,26.817140000000002
128,22.77062,23.15099,22.87789,23.702820000000003,22.01114,23.998260000000002,23.436320000000002,23.35756,23.14858,21.29334,22.44887,22.69776
129,23.21975,23.61425,23.84585,24.47741,24.19588,24.67255,23.63699,24.09611,23.21755,24.740779999999997,24.77329,25.29555
130,25.743779999999997,26.466890000000003,26.274759999999997,25.851670000000002,25.54619,25.85866,26.31448,26.458509999999997,26.14309,25.18279,25.12939,25.78442
131,25.753510000000002,25.392310000000002,25.90118,25.82479,24.7885,25.817970000000003,25.78332,25.22155,25.18786,25.09712,25.36018,25.56909
132,22.723589999999998,23.33634,23.37875,21.71146,22.0446,21.78065,23.0091,23.536939999999998,22.01086,22.32356,22.443260000000002,22.1642
133,23.57462,24.63909,24.341910000000002,23.81382,23.01422,23.92606,24.38634,23.60614,23.28207,22.95298,23.27056,23.7417
134,24.83533,24.71978,25.19366,24.454629999999998,23.349220000000003,24.4097,24.30194,24.216379999999997,23.04725,24.156229999999997,24.722189999999998,25.04298
135,25.23151,24.42464,24.9788,24.51911,23.82036,25.20378,24.76961,24.947039999999998,24.871170000000003,23.76,23.635,24.08099
136,23.98815,24.29691,23.822789999999998,24.08107,23.52301,23.87324,23.96323,24.3763,23.888279999999998,23.98433,23.86985,23.70936
137,22.19632,23.18045,23.07173,24.304029999999997,23.50579,24.29018,23.249000000000002,23.53112,22.78365,23.557660000000002,23.6871,23.250870000000003
138,24.18684,24.17142,24.22192,24.76507,23.57242,24.90679,24.400479999999998,24.15174,23.98303,24.05904,24.05051,24.21312
139,25.58026,25.73794,26.030929999999998,26.736990000000002,24.968510000000002,26.153370000000002,25.87495,25.63339,25.45466,25.1495,25.375410000000002,25.67801
140,22.41947,22.18365,21.50101,,,,,,20.81964,21.08083,,21.731820000000003
141,23.38403,23.92751,23.76385,24.01018,22.6293,23.97666,23.85281,23.34827,22.642689999999998,22.823179999999997,22.28642,23.58703
142,24.78945,24.68672,24.770220000000002,25.693939999999998,24.78771,25.87235,25.19284,24.65764,24.34489,25.22674,25.22428,25.62578
143,25.55145,25.33009,25.71921,27.276040000000002,25.168210000000002,26.4934,25.71641,25.46205,24.65004,25.02301,25.06936,25.96426
144,22.8139,22.4949,21.98715,23.63887,22.86854,22.96999,21.93085,22.14096,21.6841,24.156229999999997,24.04318,23.9819
145,21.93081,22.65139,22.63174,22.42291,22.06224,22.5589,22.47966,21.330679999999997,22.345270000000003,22.05772,20.75524,22.006729999999997
146,21.98735,22.59115,22.66319,23.5412,22.85426,23.1967,23.43479,22.98924,22.51073,21.5855,22.31457,22.0314
147,25.4551,25.91358,25.817870000000003,25.5576,24.28376,24.56726,25.019579999999998,25.10509,24.89365,25.41235,25.715310000000002,25.74681
148,24.40373,24.326220000000003,24.28595,25.03419,24.26614,25.79372,24.67023,24.64152,24.33953,24.30862,24.572020000000002,24.465999999999998
149,26.168789999999998,26.81213,26.15447,26.402070000000002,26.01763,26.64238,26.26673,26.09923,26.761159999999997,26.20641,26.05036,26.1564
150,,,,,,23.30619,,,,,,
151,25.45554,24.966620000000002,25.26209,25.173560000000002,25.10125,25.26778,25.669610000000002,24.755879999999998,24.02665,24.52809,25.19265,24.88795
152,21.7965,22.07405,22.12569,,22.04787,,,23.24243,22.08735,,,
153,23.69742,24.11219,23.4491,23.910220000000002,23.19364,24.20157,23.528389999999998,23.55544,23.4279,23.72941,23.622770000000003,23.906370000000003
154,24.76274,25.065910000000002,24.82372,24.98002,23.85396,25.44047,24.97145,25.05941,24.10165,24.25321,23.942439999999998,23.42995
